x,y,d_left,d_right,psi
5.500000000001288,4.435188875206464,0.7500192609883013,0.8001607489927459,1.5707963267948966
5.500000000001288,4.535066631988094,0.7500185598828067,0.8001604357327982,1.5707963267948966
5.500000000001288,4.634944388769732,0.7500178717747199,0.8001601227782892,1.5707963267948966
5.500000000001288,4.734822145551368,0.7500171966640763,0.8001598101292197,1.5707963267948966
5.500000000001288,4.834699902332998,0.7500165345509113,0.8001594977855897,1.5707963267948966
5.500000000001288,4.934577659114634,0.7500158854352593,0.8001591857474,1.5707963267948966
5.500000000001288,5.034455415896264,0.7500152493171538,0.8001588740146507,1.5707963267948966
5.500000000001288,5.1343331726779,0.7500146261966281,0.8001585625873417,1.5707963267948966
5.500000000001288,5.2342109294595325,0.7500140160737145,0.8001582514654744,1.5707963267948966
5.500000000001288,5.3340886862411665,0.7500134189484448,0.8001579406490483,1.5707963267948966
5.500000000001288,5.433966443022802,0.7500128348208499,0.8001576301380642,1.5707963267948966
5.500000000001288,5.533844199804436,0.7500122636909604,0.8001573199325219,1.5707963267948966
5.500000000001288,5.633721956586074,0.7500117055588058,0.8001570100324225,1.5707963267948966
5.500000000001288,5.7335997133677115,0.7500111604244151,0.8001567004377658,1.5707963267948966
5.500000000001288,5.833477470149349,0.7500106282878168,0.8001563911485523,1.5707963267948966
5.500000000001288,5.933355226930983,0.7500101091490384,0.8001560821647826,1.5707963267948966
5.500000000001288,6.033232983712617,0.750009603008107,0.800155773486457,1.5707963267948966
5.500000000001288,6.133110740494251,0.750009109865049,0.8001554651135754,1.5707963267948966
5.500000000001288,6.232988497275887,0.7500086297198898,0.8001551570461385,1.5707963267948966
5.500000000001288,6.3328662540575245,0.7500081625726545,0.8001548492841467,1.5707963267948966
5.500000000001288,6.432744010839157,0.7500077084233673,0.8001545418276004,1.5707963267948966
5.500000000001288,6.5326217676207925,0.750007267272052,0.8001542346764995,1.5707963267948966
5.500000000001288,6.6324995244024265,0.7500068391187313,0.800153927830845,1.5707963267948966
5.500000000001288,6.7323772811840605,0.7500064239634278,0.8001536212906368,1.5707963267948966
5.500000000001288,6.832255037965691,0.7500060218061626,0.8001533150558756,1.5707963267948966
5.500000000001288,6.932132794747327,0.7500056326469571,0.8001530091265612,1.5639996550000315
5.501357544452275,7.031988611704023,0.7513627097666964,0.7987958482123816,1.5345387706769285
5.507238526227724,7.131687171154857,0.757242679863206,0.79291924998871,1.5032001369976884
5.514849050327083,7.231274266536723,0.7648519848433545,0.7853158424139867,1.498316923774568
5.521703722997805,7.33091422685813,0.7783838790077037,0.7784672458152234,1.51608527434798
5.525770728843378,7.4306997677661055,0.8015237319377587,0.7744027549532418,1.5548548515637477
5.524886483685295,7.530550146648943,0.8314371663695388,0.775287050570268,1.6157667957749855
5.516799595851477,7.630054695792014,0.8652755284598279,0.7833797155716365,1.700380351330563
5.4991182358548665,7.728289432485809,0.9001737374151981,0.8010928191638602,1.8067360358266311
5.470218464450607,7.823805693869316,0.9267456410769752,0.8300928912233265,1.9328376631817643
5.428596502995846,7.914492703840097,0.9383386029675711,0.8719875073774731,2.0810311167690534
5.373076343554328,7.997376977432475,0.9441255792418028,0.79275428244277,2.243591605401642
5.304698849352193,8.069984002034989,0.9439792786377058,0.7202180568979227,2.406348660973544
5.225606996343694,8.130749129903142,0.910741998052028,0.6603353459592012,2.559316037404859
5.13851011173829,8.179407180376732,0.8711023308020709,0.612577245546003,2.6944291770748716
5.046012275079287,8.216875832887151,0.8296408319299658,0.5746539773838569,2.8077858405774156
4.950152303595642,8.244726632359674,0.7813214929927961,0.546589004022048,2.899545527954147
4.852325957152368,8.264694566336933,0.7320789512706318,0.5265283664773461,2.9720125009407528
4.753413686322986,8.278413130232039,0.6870065729711634,0.512776965420007,3.0278157711580387
4.653945417289642,8.28736358840273,0.6377304393914722,0.503820509022094,3.068679591933185
4.554226957593622,8.292962236148771,0.5891487418817639,0.49822523378555345,3.0934727069140795
4.454429903736846,8.296971681361061,0.5476037101074152,0.4942209004003118,3.1083575087770345
4.354599293047032,8.299599334392514,0.5207466158891978,0.4915974235675519,3.126743596056132
4.254730875224781,8.299937241691314,0.5099895230415578,0.4912607789387689,3.1442805339159303
4.1548622737133565,8.299062463894936,0.5091163939972284,0.49213387882765897,3.16259669139561
4.055043798321315,8.295742389880186,0.5057990136886951,0.4954429168574879,3.1797420255473092
3.955260154150925,8.291444072162374,0.5015041286451424,0.49972566708414307,3.1870311528960507
3.855496610198626,8.28666901978507,0.4967330263880135,0.5044829802946127,3.1690650109028393
3.7556268687448777,8.285958295050396,0.4960241209648948,0.505192598426461,3.141016501021389
3.655753247236842,8.286784102449396,0.49685150269120437,0.5043694526842115,3.1273932883237956
3.5558962681250033,8.28879453342195,0.4988636369163171,0.502363289315235,3.1164044946293035
3.456064579701879,8.291814956325476,0.5018860604539598,0.5065196755700869,3.107161730629914
3.3562615399738727,8.295670858849952,0.5057443479606625,0.519632019280252,3.099663008192252
3.2564861435942802,8.300188116893382,0.5102643927554084,0.5417042983082605,3.0939049005350228
3.1567339460030848,8.305193100819414,0.5152725249870269,0.53672623842701,3.0898836565301235
3.0569979778374865,8.310512653496104,0.5205955014324277,0.531436678886476,3.08759605521581
2.957269647867063,8.315973974141686,0.5260604017002591,0.5260071822857565,3.087040003777658
2.857539636497578,8.32140444131059,0.5314944650509194,0.5206089722508115,3.088214883100801
2.7577987843222864,8.326631407709842,0.5367249010804339,0.515413202097293,3.09112164398574
2.6580389813269676,8.331481999178234,0.541578706649167,0.5105912359518248,3.095762655036552
2.5582540622040617,8.335782950198872,0.5458825209850741,0.5063149114632505,3.1021413008349827
2.458440711799116,8.33936050873781,0.5494625510020306,0.5027567502047783,3.110261327057663
2.358599381966017,8.34204044387353,0.5521445995446349,0.5000900780631249,3.1201259284380276
2.2587352169968296,8.343648190343155,0.5537542303747338,0.49848901394862344,3.131736576713363
2.158858979278023,8.344009164386813,0.5541171050259912,0.4981282820428082,3.1450915897452205
2.0589879599215513,8.342949284591294,0.5530595278785141,0.4991828018887439,3.160184450665236
1.9591468509476087,8.340295729157813,0.5504092366337484,0.5018270134964476,3.156359114378928
1.8592738735644883,8.340000000000721,0.5501156815246929,0.5021204955889046,3.1430731434726633
1.7593961167828542,8.340000000000721,0.550117715135647,0.502119060312588,3.141592653589793
1.6595183600012167,8.340000000000721,0.5501197664602784,0.5021176255191031,3.141592653589793
1.5596406032195826,8.340000000000721,0.5501218354983889,0.5021161912084537,3.141592653589793
1.459762846437945,8.340000000000721,0.5501239222497788,0.502114757380644,3.141592653589793
1.359885089656311,8.340000000000721,0.5501260267142465,0.5021133240356783,3.128733149491641
1.2600447952123828,8.34256841667748,0.5526967761202708,0.49955778401493106,3.121974233301006
1.1601774018593989,8.343918452082155,0.554048854923506,0.49821302285593494,3.1353530769715947
1.0603006797405496,8.343814751564278,0.5539473527221032,0.4983149310648624,3.149038586465089
0.9604332582846492,8.342431143110343,0.5525664794070454,0.4996921544332964,3.1609810401532883
0.8605870715127422,8.339942141663478,0.5513223923786132,0.502172092210843,3.1711774765977685
0.7607682602839733,8.336522365473982,0.5547956367477657,0.5055815127835015,3.179628577122111
