s,x,y,psi,kappa,v
9.060379,2.3009898594592557,-6.319254859092935,1.31038,0.0,3.0
9.160014,2.3284887432006616,-6.2156903924445865,1.335445,0.0,3.0
9.259659,2.3502189807086924,-6.124797786078084,1.314807,0.0,3.0
9.359298,2.3674580229688584,-6.054150242140285,1.224924,0.0,3.0
9.458932,2.3981701805984805,-5.968551371720014,1.195941,0.0,3.0
9.55857,2.432534189543363,-5.881068663023426,1.177117,0.0,3.0
9.658201,2.467302003087731,-5.797034606255948,1.14815,0.0,3.0
9.757823,2.4964363761354273,-5.7294897074941495,1.061138,0.0,3.0
9.857425,2.5360156174170885,-5.657619337316011,1.002586,0.0,3.0
9.957074,2.5940661750513674,-5.566476879775813,1.030625,0.0,3.0
10.056691,2.646979011737335,-5.478202936847725,1.041627,0.0,3.0
10.156303,2.7033637072552876,-5.381267831673089,1.083401,0.0,3.0
10.255949,2.759203026056634,-5.274353298913964,1.153357,0.0,3.0
10.355593,2.791333284168904,-5.200417793603819,1.089879,0.0,3.0
10.455214,2.836593432096479,-5.113662539063182,1.083983,0.0,3.0
10.554863,2.8844368628400416,-5.023249497041468,1.092788,0.0,3.0
10.654508,2.93323942187972,-4.9288922003355164,1.114744,0.0,3.0
10.75411,2.9770139288359108,-4.8396565515663,1.114052,0.0,3.0
10.85372,3.0130777057511464,-4.765189728667632,1.057782,0.0,3.0
10.953317,3.0559324691244476,-4.688635029966115,1.018226,0.0,3.0
11.052952,3.1173938835067414,-4.58789340458761,1.079509,0.0,3.0
11.152584,3.165171405547506,-4.498586300608687,1.085017,0.0,3.0
11.252226,3.210692383475574,-4.412352923281841,1.077911,0.0,3.0
11.351859,3.256293735148972,-4.327413587160185,1.067158,0.0,3.0
11.451473,3.289381962951711,-4.264538296072541,0.971755,0.0,3.0
11.551033,3.3335292905254876,-4.198660901539537,0.904168,0.0,3.0
11.650672,3.3828069859516092,-4.135038344883823,0.840235,0.0,3.0
11.750292,3.4332546195210085,-4.077403714560049,0.763391,0.0,3.0
11.849902,3.482709763737983,-4.0280327986285425,0.664077,0.0,3.0
11.949451,3.5426079158759025,-3.980050516885935,0.587982,0.0,3.0
12.049014,3.6115216347233523,-3.93356749885715,0.533154,0.0,3.0
12.148658,3.690885945572143,-3.8866228690686637,0.508369,0.0,3.0
12.248308,3.775561868920958,-3.839426637475621,0.49934,0.0,3.0
12.347922,3.838195740965281,-3.80381630551853,0.40729,0.0,3.0
12.447518,3.907557028990963,-3.7728751699967193,0.328366,0.0,3.0
12.547141,3.9809250210513576,-3.747037570516832,0.255494,0.0,3.0
12.646732,4.032683485885979,-3.7299783601788192,0.104247,0.0,3.0
12.746171,4.088640187678016,-3.721030754619909,-0.039096,0.0,3.0
12.845708,4.164309989556984,-3.7230402700697214,-0.118665,0.0,3.0
12.945231,4.241349646921872,-3.7314099422843183,-0.192182,0.0,3.0
13.044771,4.333114028572851,-3.7492033384151378,-0.2124,0.0,3.0
13.144406,4.4152366789599515,-3.766492066451842,-0.264805,0.0,3.0
13.244029,4.512301286806175,-3.792811266372923,-0.261651,0.0,3.0
13.343666,4.576315815435195,-3.8079674017738085,-0.374826,0.0,3.0
13.443232,4.644397107301483,-3.8334551140143653,-0.464549,0.0,3.0
13.542877,4.725304120736111,-3.8738409851105304,-0.495278,0.0,3.0
13.642513,4.80504122873475,-3.916757636982638,-0.525562,0.0,3.0
13.742157,4.89103978321875,-3.9666340239131546,-0.526323,0.0,3.0
