s,x,y,psi,kappa,v
16.132651,6.755804041110731,-3.191164291728359,0.742589,0.0,0.9996999999999999
16.232274,6.786838418697405,-3.166158634308319,0.8282,0.0,0.9996999999999999
16.33183,6.8240063536705495,-3.127927489652502,0.894317,0.0,0.9996999999999999
16.431417,6.858492935573237,-3.087432907833207,0.960689,0.0,0.9996999999999999
16.531067,6.889610099418873,-3.0457566768848103,1.028839,0.0,0.9996999999999999
16.630704,6.925954061031844,-2.9866635375438797,1.072085,0.0,0.9996999999999999
16.730315,6.9643896845035815,-2.916675521567486,1.100317,0.0,0.9996999999999999
16.829954,6.986200379328563,-2.8787244585381426,1.180298,0.0,0.9996999999999999
16.929586,7.017536629452457,-2.8031975098269863,1.20582,0.0,0.9996999999999999
17.029234,7.069655487141196,-2.6704857631248418,1.14446,0.0,0.9996999999999999
17.128828,7.122030991788965,-2.556338453752247,1.107313,0.0,0.9996999999999999
17.228475,7.179978260474258,-2.4417201593204583,1.066189,0.0,0.9996999999999999
17.328095,7.256972140979324,-2.3068951451144826,0.98663,0.0,0.9996999999999999
17.427701,7.350685998838263,-2.170742790650792,0.892711,0.0,0.9996999999999999
17.527241,7.455641287153359,-2.045136417204383,0.800981,0.0,0.9996999999999999
17.62689,7.576629175534862,-1.925433063784077,0.700081,0.0,0.9996999999999999
17.726533,7.682297582184136,-1.8377413504936468,0.646241,0.0,0.9996999999999999
17.82613,7.811399794595228,-1.7436048262948143,0.560193,0.0,0.9996999999999999
17.925761,7.913745693833384,-1.6797830470844626,0.530209,0.0,0.9996999999999999
18.02541,8.002179987224268,-1.62794947167531,0.526132,0.0,0.9996999999999999
18.125047,8.138427472136495,-1.551475599303567,0.445205,0.0,0.9996999999999999
18.224655,8.279164282054795,-1.4867456159198982,0.366139,0.0,0.9996999999999999
18.324301,8.44054418007952,-1.4288192174630958,0.263423,0.0,0.9996999999999999
18.423711,8.623677259064877,-1.385279663973252,0.136302,0.0,0.9996999999999999
18.523237,8.820383477182899,-1.3652693622460952,-0.004256,0.0,0.9996999999999999
18.622685,9.028448632662117,-1.3746407986625755,-0.160121,0.0,0.9996999999999999
18.722244,9.250105551812403,-1.4221758707182408,-0.342326,0.0,0.9996999999999999
18.821519,9.523314716344027,-1.5509249095638258,-0.634013,0.0,0.9996999999999999
18.920312,9.761612035465387,-1.771855377114431,-0.959849,0.0,0.9996999999999999
19.019377,9.930183415140029,-2.1109662488353846,-1.3642,0.0,0.9996999999999999
19.118425,9.964794246374042,-2.380246497048,-1.611886,0.0,0.9996999999999999
19.217779,9.943924677772825,-2.605777935837529,-1.79409,0.0,0.9996999999999999
19.317361,9.910795433315055,-2.7454326423607665,-1.856917,0.0,0.9996999999999999
19.417008,9.891328758971314,-2.8087826973204617,-1.809206,0.0,0.9996999999999999
19.51649,9.876818584283146,-2.862719533342925,-1.74682,0.0,0.9996999999999999
19.61614,9.858512906389967,-2.9655456562423863,-1.753672,0.0,0.9996999999999999
19.715752,9.839442559132982,-3.06855922692044,-1.761023,0.0,0.9996999999999999
19.815348,9.82734683992821,-3.1246241528744374,-1.700624,0.0,0.9996999999999999
19.914958,9.814799266660957,-3.2206863273428143,-1.696723,0.0,0.9996999999999999
20.014526,9.79627168529338,-3.3582689176287572,-1.752826,0.0,0.9996999999999999
20.114151,9.783362830807508,-3.4242578943585293,-1.706535,0.0,0.9996999999999999
20.213756,9.753235976854379,-3.6065122000350645,-1.828342,0.0,0.9996999999999999
20.313263,9.70282222896468,-3.7795882550321935,-1.943883,0.0,0.9996999999999999
20.412872,9.662299976114909,-3.882862773636721,-1.960074,0.0,0.9996999999999999
20.512506,9.618106527330788,-3.9900939579645023,-1.983428,0.0,0.9996999999999999
20.612147,9.567572072992661,-4.104389355554773,-2.019613,0.0,0.9996999999999999
20.711767,9.527376875774902,-4.18776925638339,-2.009535,0.0,0.9996999999999999
20.811384,9.489860026164592,-4.26749919126068,-1.993101,0.0,0.9996999999999999
20.911034,9.448286588655291,-4.360014256524613,-1.995643,0.0,0.9996999999999999
21.010674,9.414151642719368,-4.434949097458377,-1.970935,0.0,0.9996999999999999
21.110322,9.381065278069787,-4.5127589338570075,-1.949361,0.0,0.9996999999999999
21.209969,9.313600447748955,-4.671980981567386,-2.054168,0.0,0.9996999999999999
21.30954,9.262252296244734,-4.769625330846078,-2.069539,0.0,0.9996999999999999
21.40918,9.229953648105218,-4.827238623905353,-2.02152,0.0,0.9996999999999999
21.508758,9.197198823162038,-4.893867983117151,-1.985323,0.0,0.9996999999999999
21.608364,9.14887558247577,-5.002996134300933,-2.013537,0.0,0.9996999999999999
21.708,9.10357769405878,-5.098475197096608,-2.022159,0.0,0.9996999999999999
21.807649,9.074921171685281,-5.155486211145459,-1.970932,0.0,0.9996999999999999
21.907251,9.041500322927476,-5.234137558305238,-1.950728,0.0,0.9996999999999999
22.006846,9.008755033075856,-5.315882326581985,-1.934242,0.0,0.9996999999999999
22.106447,8.962911253669228,-5.434851229009883,-1.974097,0.0,0.9996999999999999
22.205996,8.914946410671247,-5.546391076571054,-2.005343,0.0,0.9996999999999999
22.305611,8.867696775690494,-5.647932105999949,-2.023033,0.0,0.9996999999999999
22.405228,8.831340215621067,-5.722305106556272,-1.998987,0.0,0.9996999999999999
22.504878,8.788950586311188,-5.815167549756375,-2.002454,0.0,0.9996999999999999
22.604527,8.732191539561775,-5.9363903283682005,-2.051331,0.0,0.9996999999999999
22.704107,8.685474521100513,-6.026004938944759,-2.053441,0.0,0.9996999999999999
22.803756,8.648537576679798,-6.095841195837575,-2.023947,0.0,0.9996999999999999
22.903366,8.606337858415918,-6.182486009240899,-2.019334,0.0,0.9996999999999999
23.002973,8.564545276470689,-6.269311561124934,-2.014685,0.0,0.9996999999999999
23.102578,8.515431420175327,-6.372244138329142,-2.03532,0.0,0.9996999999999999
23.202225,8.469830389531579,-6.4632387268622455,-2.038373,0.0,0.9996999999999999
23.301834,8.42922857328899,-6.543503183052736,-2.024572,0.0,0.9996999999999999
23.401463,8.391488911726803,-6.6205715993189145,-2.004837,0.0,0.9996999999999999
23.501112,8.352197067125205,-6.705273835412777,-1.995865,0.0,0.9996999999999999
23.600762,8.312458670083995,-6.793042218235404,-1.991144,0.0,0.9996999999999999
23.700412,8.271809093991541,-6.883982709648547,-1.991095,0.0,0.9996999999999999
23.800062,8.229848053373646,-6.97785317675745,-1.99562,0.0,0.9996999999999999
23.899711,8.194836887135109,-7.054854088016641,-1.974098,0.0,0.9996999999999999
23.999344,8.14213144541574,-7.176408382039285,-2.021059,0.0,0.9996999999999999
24.098945,8.082954882053617,-7.296865927901926,-2.070506,0.0,0.9996999999999999
24.198575,8.017160598357988,-7.4154522589162495,-2.121941,0.0,0.9996999999999999
24.298222,7.97873062393694,-7.4769698713569275,-2.08319,0.0,0.9996999999999999
24.397835,7.935582156361252,-7.553474919674666,-2.066358,0.0,0.9996999999999999
