s,x,y,psi,kappa,v
10.554863,3.1508127445029146,-5.161249097323345,1.092788,0.15435,1.52935059
10.654508,3.2025769717677344,-5.06101821680977,1.114744,0.106722,1.705
10.75411,3.2462623336147427,-4.971964134586459,1.114052,-0.285937,1.13970477
10.85372,3.2744607432658244,-4.912427317994836,1.057782,-0.481037,0.8847781299999999
10.953317,3.3112832706062996,-4.84610238593392,1.018226,0.109054,1.705
11.052952,3.381912881884414,-4.729419725461379,1.079509,0.335183,1.05527751
11.152584,3.43046444857737,-4.638656287830275,1.085017,-0.008019,1.705
11.252226,3.4749834791325607,-4.554304382438182,1.077911,-0.08962,1.705
11.351859,3.5190452393669807,-4.47219496385585,1.067158,-0.532786,0.84154522
11.451473,3.537144423137048,-4.433694328549384,0.971755,-0.81833,0.68122407
11.551033,3.5693009576229398,-4.384164866450087,0.904168,-0.660244,0.75731264
11.650672,3.6062476841398303,-4.335223894796222,0.840235,-0.706503,0.73245808
11.750292,3.6406669354599384,-4.294152719625672,0.763391,-0.884194,0.65565558
11.849902,3.66760974574686,-4.264278426425451,0.664077,-0.880749,0.6569225499999999
11.949451,3.7090161643070587,-4.229666812151479,0.587982,-0.657534,0.7588480700000001
12.049014,3.763996686466342,-4.191930341766501,0.533154,-0.39965,0.9686914099999999
12.148658,3.8369080758894514,-4.148686864052967,0.508369,-0.169669,1.46269966
12.248308,3.9192167463406014,-4.102795724868594,0.49934,-0.507262,0.86205792
12.347922,3.9570360747514726,-4.079274061033313,0.40729,-0.85826,0.66537532
12.447518,4.004305911958467,-4.056846389743637,0.328366,-0.761955,0.70566013
12.547141,4.056742371520907,-4.03729905498874,0.255494,-1.125016,0.5819568
12.646732,4.063897753402966,-4.028350057074845,0.104247,-1.480129,0.50790183
12.746171,4.076917207501923,-4.020801620015143,-0.039096,-1.120296,0.58317045
12.845708,4.128789851835904,-4.020930048049621,-0.118665,-0.769045,0.70244202
12.945231,4.184049149298065,-4.025886856442415,-0.192182,-0.470881,0.89407286
